prediction_point,POFD,POD,mode,quantity,unit,lead_days
0.35,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.36,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.37,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.38,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.39,0.9875,0.9655172413793104,strict3x3,pn,CPP,3
0.4,0.9875,0.9482758620689655,strict3x3,pn,CPP,3
0.41,0.9875,0.9482758620689655,strict3x3,pn,CPP,3
0.42,0.9875,0.9482758620689655,strict3x3,pn,CPP,3
0.43,0.975,0.9482758620689655,strict3x3,pn,CPP,3
0.44,0.975,0.9482758620689655,strict3x3,pn,CPP,3
0.45,0.975,0.9137931034482759,strict3x3,pn,CPP,3
0.46,0.9625,0.9137931034482759,strict3x3,pn,CPP,3
0.47,0.9625,0.9137931034482759,strict3x3,pn,CPP,3
0.48,0.9625,0.9137931034482759,strict3x3,pn,CPP,3
0.49,0.9625,0.896551724137931,strict3x3,pn,CPP,3
0.5,0.9625,0.8620689655172413,strict3x3,pn,CPP,3
0.51,0.95,0.8448275862068966,strict3x3,pn,CPP,3
0.52,0.95,0.8275862068965517,strict3x3,pn,CPP,3
0.53,0.9375,0.8275862068965517,strict3x3,pn,CPP,3
0.54,0.9375,0.8275862068965517,strict3x3,pn,CPP,3
0.55,0.9375,0.8275862068965517,strict3x3,pn,CPP,3
0.56,0.925,0.8275862068965517,strict3x3,pn,CPP,3
0.57,0.925,0.8275862068965517,strict3x3,pn,CPP,3
0.58,0.925,0.8275862068965517,strict3x3,pn,CPP,3
0.59,0.9125,0.8275862068965517,strict3x3,pn,CPP,3
0.6,0.9125,0.8275862068965517,strict3x3,pn,CPP,3
0.61,0.9,0.8275862068965517,strict3x3,pn,CPP,3
0.62,0.875,0.8275862068965517,strict3x3,pn,CPP,3
0.63,0.875,0.8275862068965517,strict3x3,pn,CPP,3
0.64,0.875,0.7931034482758621,strict3x3,pn,CPP,3
0.65,0.875,0.7931034482758621,strict3x3,pn,CPP,3
0.66,0.85,0.7931034482758621,strict3x3,pn,CPP,3
0.67,0.85,0.7931034482758621,strict3x3,pn,CPP,3
0.68,0.8375,0.7931034482758621,strict3x3,pn,CPP,3
0.69,0.8375,0.7931034482758621,strict3x3,pn,CPP,3
0.7,0.8375,0.7931034482758621,strict3x3,pn,CPP,3
0.71,0.8375,0.7931034482758621,strict3x3,pn,CPP,3
0.72,0.825,0.7931034482758621,strict3x3,pn,CPP,3
0.73,0.825,0.7758620689655172,strict3x3,pn,CPP,3
0.74,0.8125,0.7758620689655172,strict3x3,pn,CPP,3
0.75,0.8125,0.7758620689655172,strict3x3,pn,CPP,3
0.76,0.8125,0.7758620689655172,strict3x3,pn,CPP,3
0.77,0.8,0.7758620689655172,strict3x3,pn,CPP,3
0.78,0.8,0.7758620689655172,strict3x3,pn,CPP,3
0.79,0.7875,0.7586206896551724,strict3x3,pn,CPP,3
0.8,0.7875,0.7586206896551724,strict3x3,pn,CPP,3
0.81,0.775,0.7413793103448276,strict3x3,pn,CPP,3
0.82,0.775,0.7413793103448276,strict3x3,pn,CPP,3
0.83,0.775,0.7413793103448276,strict3x3,pn,CPP,3
0.84,0.775,0.7413793103448276,strict3x3,pn,CPP,3
0.85,0.7625,0.7413793103448276,strict3x3,pn,CPP,3
0.86,0.75,0.7241379310344828,strict3x3,pn,CPP,3
0.87,0.75,0.7068965517241379,strict3x3,pn,CPP,3
0.88,0.7125,0.6896551724137931,strict3x3,pn,CPP,3
0.89,0.7,0.6379310344827587,strict3x3,pn,CPP,3
0.9,0.6875,0.6206896551724138,strict3x3,pn,CPP,3
0.91,0.65,0.603448275862069,strict3x3,pn,CPP,3
0.92,0.65,0.5862068965517241,strict3x3,pn,CPP,3
0.93,0.6,0.5689655172413793,strict3x3,pn,CPP,3
0.94,0.5625,0.5344827586206896,strict3x3,pn,CPP,3
0.95,0.525,0.5,strict3x3,pn,CPP,3
0.96,0.475,0.4827586206896552,strict3x3,pn,CPP,3
0.97,0.3375,0.43103448275862066,strict3x3,pn,CPP,3
0.98,0.1625,0.29310344827586204,strict3x3,pn,CPP,3
0.99,0.0625,0.13793103448275862,strict3x3,pn,CPP,3
1.0,0.0,0.0,strict3x3,pn,CPP,3
0.0,1.0,1.0,strict3x3,pn,SW,0
