quantity,unit_kind,unit_label,lead_days,n_matchups,n_events,event_rate,mean_model_prob,calibration_gap,prob_sep_event_minus_nonevent,auc,auc_se,auc_ci_low,auc_ci_high,auc_beats_random,auc_pr,auc_pr_baseline,auc_pr_lift,f1_max,f1_max_pp,mcc_max,mcc_max_pp,opt_pp_far_pod,POD_faropt,FAR_faropt,FOR_faropt,POFD_faropt,accuracy_faropt,opt_pp_for_pod,POD_foropt,FAR_foropt,FOR_foropt,POFD_foropt,accuracy_foropt,max_accuracy
pn,station,Cal Poly Pier,3,138,58,0.42,0.859,0.439,-0.034,0.518,0.05,0.42,0.616,False,0.493,0.42,1.172,0.592,0.011,0.195,0.979,0.912,0.603,0.598,0.451,0.65,0.457,0.05,0.983,0.584,1.0,1.0,0.413,0.609
pn,station,Inner Tomales Bay,0,28,0,0.0,0.706,0.706,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Inner Tomales Bay,1,28,0,0.0,0.704,0.704,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Inner Tomales Bay,2,30,0,0.0,0.722,0.722,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Inner Tomales Bay,3,26,0,0.0,0.741,0.741,,,,,,,,,,,,,,,,,,,,,,,,,,
pn,station,Monterey Wharf,0,106,41,0.387,0.809,0.422,0.057,0.645,0.056,0.535,0.755,True,0.546,0.387,1.412,0.582,0.765,0.295,0.912,0.936,0.366,0.4,0.321,0.154,0.66,0.954,0.341,0.333,0.318,0.108,0.679,0.679
pn,station,Monterey Wharf,1,107,43,0.402,0.815,0.413,0.036,0.586,0.057,0.475,0.697,False,0.498,0.402,1.239,0.585,0.491,0.267,0.95,0.871,0.465,0.459,0.329,0.266,0.626,0.93,0.349,0.444,0.35,0.188,0.626,0.664
pn,station,Monterey Wharf,2,106,40,0.377,0.808,0.431,0.095,0.704,0.054,0.599,0.81,True,0.574,0.377,1.52,0.623,0.772,0.328,0.92,0.951,0.325,0.316,0.31,0.091,0.689,0.952,0.325,0.316,0.31,0.091,0.689,0.698
pn,station,Monterey Wharf,3,104,42,0.404,0.815,0.411,0.054,0.632,0.056,0.521,0.742,True,0.526,0.404,1.303,0.617,0.75,0.275,0.781,0.824,0.571,0.52,0.333,0.419,0.577,0.933,0.381,0.36,0.329,0.145,0.663,0.663
pn,station,Morro Bay Back Bay,0,144,3,0.021,0.784,0.763,0.169,0.676,0.173,0.337,1.0,False,0.041,0.021,1.949,0.107,0.942,0.191,0.942,0.941,1.0,0.944,0.0,0.362,0.646,0.959,0.0,1.0,0.029,0.277,0.708,0.979
pn,station,Morro Bay Back Bay,1,147,3,0.02,0.795,0.774,0.152,0.745,0.166,0.421,1.0,False,0.057,0.02,2.773,0.138,0.972,0.185,0.972,0.881,1.0,0.957,0.0,0.465,0.544,0.98,0.0,1.0,0.023,0.118,0.864,0.98
pn,station,Morro Bay Back Bay,2,144,3,0.021,0.798,0.777,0.128,0.681,0.173,0.342,1.0,False,0.053,0.021,2.561,0.133,0.984,0.15,0.867,0.861,1.0,0.957,0.0,0.475,0.535,0.989,0.0,1.0,0.022,0.05,0.931,0.979
pn,station,Morro Bay Back Bay,3,143,3,0.021,0.778,0.757,0.193,0.838,0.145,0.555,1.0,True,0.132,0.021,6.303,0.286,0.987,0.271,0.987,0.942,1.0,0.935,0.0,0.307,0.699,0.989,0.0,1.0,0.021,0.014,0.965,0.979
