prediction_point,hits,false_alarms,misses,correct_negatives,total,accuracy,POD,FAR,POFD,BS,miss_rate,FOR,precision,recall,F1,MCC,mode,quantity,unit,lead_days
0.45,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.46,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.47,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.48,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.49,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.5,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.51,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.52,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.53,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.54,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.55,68,89,3,0,160,0.425,0.9577464788732394,0.5668789808917197,1.0,2.211267605633803,0.04225352112676056,1.0,0.43312101910828027,0.9577464788732394,0.5964912280701755,-0.15476638199371584,strict3x3,pn,CPP,0
0.56,67,89,4,0,160,0.41875,0.9436619718309859,0.5705128205128205,1.0,2.1971830985915495,0.056338028169014086,1.0,0.42948717948717946,0.9436619718309859,0.5903083700440528,-0.17928069431155982,strict3x3,pn,CPP,0
0.57,67,89,4,0,160,0.41875,0.9436619718309859,0.5705128205128205,1.0,2.1971830985915495,0.056338028169014086,1.0,0.42948717948717946,0.9436619718309859,0.5903083700440528,-0.17928069431155982,strict3x3,pn,CPP,0
0.58,67,89,4,0,160,0.41875,0.9436619718309859,0.5705128205128205,1.0,2.1971830985915495,0.056338028169014086,1.0,0.42948717948717946,0.9436619718309859,0.5903083700440528,-0.17928069431155982,strict3x3,pn,CPP,0
0.59,67,89,4,0,160,0.41875,0.9436619718309859,0.5705128205128205,1.0,2.1971830985915495,0.056338028169014086,1.0,0.42948717948717946,0.9436619718309859,0.5903083700440528,-0.17928069431155982,strict3x3,pn,CPP,0
